Module,TXT,RO,DATA,BSS,TOTAL,FatalCount,F3Count
modem_proc/sierra/ids/sierra_ids.lib/xltdecxml.o,3820,268,0,0,4088,0,0
modem_proc/sierra/ids/sierra_ids.lib/xltenc.o,4756,428,0,0,5184,0,0
modem_proc/sierra/ids/sierra_ids.lib/xltenccom.o,72,0,0,0,72,0,0
modem_proc/sierra/ids/sierra_ids.lib/xltencwbxml.o,768,8,0,0,776,0,0
modem_proc/sierra/ids/sierra_ids.lib/xltencxml.o,732,0,8,0,740,0,0
modem_proc/sierra/ids/sierra_ids.lib/xltmetinf.o,1352,60,0,0,1412,0,0
modem_proc/sierra/ids/sierra_ids.lib/xlttags.o,912,1324,0,0,2236,0,0
modem_proc/sierra/ids/sierra_ids.lib/xltutilstack.o,428,0,0,0,428,0,0
modem_proc/sierra/ids/sierra_ids.lib/xpt-tcp.o,2104,377,0,0,2481,0,0
modem_proc/sierra/ids/sierra_ids.lib/xpt-http.o,7284,871,0,0,8155,0,0
modem_proc/sierra/ids/sierra_ids.lib/callbacks.o,2724,566,0,0,3290,0,0
modem_proc/sierra/ids/sierra_ids.lib/sess_auth.o,4032,1927,0,0,5959,0,0
modem_proc/sierra/ids/sierra_ids.lib/sess_commands.o,4840,641,0,0,5481,0,0
modem_proc/sierra/ids/sierra_ids.lib/sess_comms.o,1116,250,0,0,1366,0,0
modem_proc/sierra/ids/sierra_ids.lib/sess_cpboot.o,2980,1316,48,0,4344,0,0
modem_proc/sierra/ids/sierra_ids.lib/sess_processcmds.o,3228,421,0,0,3649,0,0
modem_proc/sierra/ids/sierra_ids.lib/sess_results.o,2052,401,0,0,2453,0,0
modem_proc/sierra/ids/sierra_ids.lib/sess_setup.o,2264,1102,0,0,3366,0,0
modem_proc/sierra/ids/sierra_ids.lib/sess_status.o,2936,484,0,0,3420,0,0
